3741, 2766, 3076, 7483
10600, 5835, 5100, 21201
2545, 1802, 3329, 5091
95, 72, 147, 191
469, 342, 592, 939
2382, 1668, 3091, 4765
2388, 1668, 3097, 4777
690, 628, 1090, 1381
1285, 1109, 1925, 2571
1067, 903, 1532, 2135
1074, 907, 1536, 2149
1083, 909, 1538, 2167
1079, 909, 1542, 2159
1078, 909, 1539, 2157
2735, 1942, 3475, 5471
1008, 738, 784, 2017
2741, 1943, 3503, 5483
2741, 1949, 3496, 5483
6663, 4456, 6545, 13327
3942, 2751, 4328, 7885
1015, 888, 1414, 2031
1229, 885, 1454, 2459
2703, 1919, 3443, 5407
2714, 1926, 3475, 5429
2726, 1934, 3471, 5453
2756, 1946, 3485, 5513
2740, 1918, 3478, 5481
2764, 1927, 3498, 5529
2779, 1951, 3519, 5559
2758, 1918, 3491, 5517
2756, 1953, 3514, 5513
2731, 1942, 3480, 5463
2748, 1952, 3510, 5497
2748, 1951, 3498, 5497
2742, 1947, 3490, 5485
2755, 1950, 3510, 5511
2741, 1943, 3501, 5483
2706, 1929, 3459, 5413
2694, 1918, 3443, 5389
2765, 1968, 3413, 5531
2721, 1953, 3449, 5443
2718, 1927, 3467, 5437
2758, 1958, 3515, 5517
2760, 1959, 3521, 5521
2780, 1965, 3532, 5561
2729, 1941, 3463, 5459
2739, 1941, 3475, 5479
2729, 1942, 3464, 5459
2768, 1957, 3526, 5537
2742, 1951, 3497, 5485
2712, 1920, 3463, 5425
2740, 1935, 3498, 5481
2782, 1973, 3542, 5565
2720, 1923, 3475, 5441
1226, 998, 1772, 2453
2778, 1972, 3544, 5557
2756, 1962, 3515, 5513
2750, 1949, 3502, 5501
2763, 1972, 3519, 5527
2753, 1963, 3518, 5507
2746, 1947, 3496, 5493
2768, 1969, 3528, 5537
2704, 1919, 3461, 5409
785, 698, 1204, 1571
519, 606, 691, 1039
519, 606, 683, 1039
519, 606, 684, 1039
520, 606, 664, 1041
554, 485, 895, 1109
849, 768, 1346, 1699
2927, 2153, 3849, 5855
863, 795, 1444, 1727
1054, 907, 1501, 2109
2583, 1805, 3342, 5167
1075, 761, 1454, 2151
4456, 2172, 5011, 8913
2726, 1938, 3476, 5453
652, 570, 958, 1305
2712, 1877, 3503, 5425
3726, 2775, 4199, 7453
1577, 1226, 2095, 3155
1266, 1059, 1740, 2533
754, 650, 1030, 1509
1025, 825, 1461, 2051
2735, 1943, 3481, 5471
1961, 1552, 2620, 3923
2191, 1706, 2417, 4383
743, 655, 1107, 1487
2591, 1908, 3333, 5183
2539, 1888, 3298, 5079
2621, 1917, 3373, 5243
2630, 1917, 3377, 5261
2638, 1918, 3397, 5277
2693, 1936, 3436, 5387
2619, 1914, 3371, 5239
2591, 1910, 3332, 5183
1044, 928, 1329, 2089
2735, 1942, 3475, 5471
2777, 1969, 3528, 5555
2725, 1940, 3474, 5451
2782, 1973, 3537, 5565
2759, 1953, 3514, 5519
2262, 1658, 2896, 4525
1250, 990, 1706, 2501
3357, 2436, 4078, 6715
1455, 1335, 2122, 2911
2721, 1923, 3476, 5443
2726, 1936, 3477, 5453
13726, 13047, 8631, 27453
1060, 911, 1554, 2121
7324, 4036, 6324, 14649
13694, 11991, 18509, 27389
